rota_principal,sentido,data,dia_da_semana,antecedencia,pax,tkm_comp,capacidade_atual,occ_atual,load_factor_atual,assentos_disponiveis,predict_time_series,predict_eixo_sentido,predict_consenso,pct_atingimento_forecast,pax_faltam_forecast,pax_d5,pax_d4,pax_d3,pax_d2,pax_d1,pax_hoje_parcial,media_d2_d5,aceleracao_abs,aceleracao_pct,tendencia_linear,sinal
BHZ-SJK,BHZ-SJK,2026-04-20,2,11,38,180.32,104,0.37,0.33,66,46,70,58,65.5,20,0,9,3,9,13,0,5.3,7.8,147.6,1.7,🟢 ACELERANDO - OPORTUNIDADE
RIO-SAO,SAO-RIO,2026-04-17,6,8,606,192.27,953,0.64,0.62,347,739,1061,900,67.3,294,20,39,97,130,130,0,71.5,58.5,81.8,20.7,🟢 ACELERANDO - OPORTUNIDADE
SAO-VIX,VIX-SAO,2026-04-16,5,7,79,177.61,145,0.54,0.44,66,111,123,117,67.5,38,6,0,4,9,18,0,4.8,13.3,278.9,2.2,🟢 ACELERANDO - OPORTUNIDADE
ARB-SAO,SAO-ARB,2026-04-17,6,8,98,159.97,153,0.64,0.56,55,116,173,145,67.6,47,3,14,22,19,26,0,14.5,11.5,79.3,3.4,🟢 ACELERANDO - OPORTUNIDADE
CGR-SAO,CGR-SAO,2026-04-17,6,8,81,198.17,120,0.68,0.64,39,100,136,118,68.6,37,9,3,9,9,18,0,7.5,10.5,140.0,1.6,🟢 ACELERANDO - OPORTUNIDADE
GYN-SAO,GYN-SAO,2026-04-17,6,8,43,139.3,60,0.72,0.59,17,56,68,62,69.4,19,0,12,12,0,18,0,6.0,12.0,200.0,1.6,🟢 ACELERANDO - OPORTUNIDADE
CGR-SAO,SAO-CGR,2026-04-16,5,7,62,151.79,120,0.52,0.49,58,73,102,88,70.5,26,6,6,9,6,15,0,6.8,8.3,122.2,1.2,🟢 ACELERANDO - OPORTUNIDADE
ARB-SAO,SAO-ARB,2026-04-16,5,7,72,134.65,159,0.45,0.38,87,96,102,99,72.7,27,8,9,16,20,31,0,13.3,17.8,134.0,3.8,🟢 ACELERANDO - OPORTUNIDADE
JDF-SAO,SAO-JDF,2026-04-20,2,11,38,109.9,120,0.32,0.27,82,41,60,51,74.5,13,9,6,3,12,18,0,7.5,10.5,140.0,1.6,🟢 ACELERANDO - OPORTUNIDADE
CGR-SAO,CGR-SAO,2026-04-16,5,7,72,173.64,120,0.6,0.56,48,87,100,94,76.6,22,3,6,24,24,21,0,14.3,6.8,47.4,3.6,🟢 ACELERANDO - OPORTUNIDADE
BHZ-VIX,BHZ-VIX,2026-04-16,5,7,222,204.21,315,0.7,0.67,93,241,333,287,77.4,65,1,4,4,22,18,2,7.8,10.3,132.3,3.5,🟢 ACELERANDO - OPORTUNIDADE
CRG-SAO,SAO-CRG,2026-04-17,6,8,167,68.02,228,0.73,0.61,61,160,257,209,79.9,42,10,8,15,14,17,0,11.8,5.3,44.7,1.3,🟢 ACELERANDO - OPORTUNIDADE
RAO-RIO,RAO-RIO,2026-04-16,5,7,44,210.74,53,0.83,0.71,9,46,63,55,80.0,11,9,6,6,0,9,0,5.3,3.8,71.4,-0.4,🟡 ACELERANDO - MONITORAR
GYN-SAO,SAO-GYN,2026-04-17,6,8,54,142.53,60,0.9,0.66,6,52,81,67,80.6,13,3,9,3,12,18,0,6.8,11.3,166.7,2.2,🟡 ACELERANDO - MONITORAR
JDF-SAO,JDF-SAO,2026-04-16,5,7,45,113.28,120,0.38,0.33,75,54,56,55,81.8,10,0,0,9,15,18,0,6.0,12.0,200.0,3.4,🟡 ACELERANDO - MONITORAR
CAB-SAO,SAO-CAB,2026-04-16,5,7,112,195.38,176,0.64,0.61,64,115,152,134,83.6,22,2,0,3,12,10,0,4.3,5.8,135.3,1.9,🟡 ACELERANDO - MONITORAR
RAO-RIO,RIO-RAO,2026-04-21,3,12,89,215.84,140,0.64,0.6,51,64,146,105,84.8,16,9,0,3,4,7,0,4.0,3.0,75.0,0.0,🟡 ACELERANDO - MONITORAR
JDF-SAO,SAO-JDF,2026-04-16,5,7,48,132.4,102,0.47,0.43,54,58,52,55,87.3,7,0,7,7,6,17,0,5.0,12.0,240.0,2.2,🟡 ACELERANDO - MONITORAR
BHZ-UDI,BHZ-UDI,2026-04-18,7,9,7,168.19,60,0.12,0.12,53,118,84,101,6.9,94,0,0,9,3,0,0,3.0,-3.0,-100.0,0.2,🔵 DESACELERANDO
BHZ-SAO,BHZ-SAO,2026-04-18,7,9,26,124.13,83,0.31,0.31,57,231,185,208,12.5,182,15,6,9,12,6,0,10.5,-4.5,-42.9,-0.8,🔵 DESACELERANDO
BHZ-UDI,UDI-BHZ,2026-04-18,7,9,14,145.33,60,0.23,0.2,46,75,93,84,16.7,70,0,3,12,12,3,0,6.8,-3.8,-55.6,1.0,🔵 DESACELERANDO
SAO-SJP,SJP-SAO,2026-04-18,7,9,44,98.26,234,0.19,0.15,190,276,235,256,17.2,212,1,0,10,16,2,0,6.8,-4.8,-70.4,1.2,🔵 DESACELERANDO
MCL-SAO,MCL-SAO,2026-04-19,1,10,14,135.76,64,0.22,0.15,50,88,71,80,17.5,66,0,0,0,15,0,0,3.8,-3.8,-100.0,1.0,🔵 DESACELERANDO
ARB-SAO,ARB-SAO,2026-04-19,1,10,23,119.29,99,0.23,0.21,76,117,125,121,19.0,98,7,0,2,5,0,0,3.5,-3.5,-100.0,-0.6,🔵 DESACELERANDO
SAO-UDI,SAO-UDI,2026-04-22,4,13,9,125.79,43,0.21,0.2,34,51,43,47,19.1,38,2,0,2,8,0,0,3.0,-3.0,-100.0,0.3,🔵 DESACELERANDO
BHZ-SAO,BHZ-SAO,2026-04-19,1,10,58,135.28,313,0.19,0.18,255,305,292,299,19.4,241,5,9,12,6,3,0,8.0,-5.0,-62.5,-0.5,🔵 DESACELERANDO
CPC-FLN,FLN-CPC,2026-04-22,4,13,42,130.09,122,0.34,0.3,80,223,164,194,21.6,152,0,21,12,12,6,0,11.3,-5.3,-46.7,0.2,🔵 DESACELERANDO
SAO-UDI,SAO-UDI,2026-04-19,1,10,14,142.76,43,0.33,0.32,29,64,53,59,23.7,45,4,4,2,2,0,0,3.0,-3.0,-100.0,-0.7,🔵 DESACELERANDO
CAB-RIO,RIO-CAB,2026-04-19,1,10,33,37.05,138,0.24,0.21,105,106,133,120,27.5,87,3,2,7,3,0,0,3.8,-3.8,-100.0,-0.3,🔵 DESACELERANDO
BHZ-SAO,SAO-BHZ,2026-04-22,4,13,75,126.71,313,0.24,0.23,238,291,238,265,28.3,190,4,5,17,46,7,0,18.0,-11.0,-61.1,3.1,🔵 DESACELERANDO
MCL-RIO,MCL-RIO,2026-04-22,4,13,17,145.31,60,0.28,0.17,43,73,44,59,28.8,42,6,0,18,3,3,0,6.8,-3.8,-55.6,-0.2,🔵 DESACELERANDO
