rota_principal,sentido,data,dia_da_semana,antecedencia,pax,tkm_comp,capacidade_atual,occ_atual,load_factor_atual,assentos_disponiveis,predict_time_series,predict_eixo_sentido,predict_consenso,pct_atingimento_forecast,pax_faltam_forecast,pax_d5,pax_d4,pax_d3,pax_d2,pax_d1,pax_hoje_parcial,media_d2_d5,aceleracao_abs,aceleracao_pct,tendencia_linear,sinal
BAT-SAO,BAT-SAO,2026-04-22,4,13,19,82.53,90,0.21,0.19,71,77,88,83,22.9,64,1,3,0,1,4,0,1.3,2.8,220.0,0.3,⚪ NORMAL
PAS-SAO,PAS-SAO,2026-04-19,1,10,8,79.53,46,0.17,0.15,38,37,33,35,22.9,27,0,0,5,0,0,0,1.3,-1.3,-100.0,0.0,⚪ NORMAL
MCE-SAO,SAO-MCE,2026-04-21,3,12,8,108.15,44,0.18,0.18,36,40,30,35,22.9,27,0,0,1,2,4,0,0.8,3.3,433.3,0.7,⚪ NORMAL
CRG-SAO,SAO-CRG,2026-04-21,3,12,28,54.4,135,0.21,0.16,107,107,136,122,23.0,94,2,2,0,1,3,0,1.3,1.8,140.0,0.1,⚪ NORMAL
CAB-JDF,CAB-JDF,2026-04-19,1,10,21,63.8,92,0.23,0.21,71,96,85,91,23.1,70,0,1,1,5,2,0,1.8,0.3,14.3,0.5,⚪ NORMAL
BHZ-RIO,RIO-BHZ,2026-04-18,7,9,53,117.92,249,0.21,0.21,196,257,201,229,23.1,176,12,3,6,23,11,0,11.0,0.0,0.0,1.2,⚪ NORMAL
CMP-RIO,RIO-CMP,2026-04-18,7,9,10,71.9,60,0.17,0.17,50,47,38,43,23.3,33,0,0,0,3,0,0,0.8,-0.8,-100.0,0.2,⚪ NORMAL
CDG-RIO,CDG-RIO,2026-04-18,7,9,23,55.29,92,0.25,0.25,69,122,73,98,23.5,75,2,2,0,1,2,0,1.3,0.8,60.0,-0.1,⚪ NORMAL
BHZ-RAO,BHZ-RAO,2026-04-21,3,12,13,220.13,49,0.27,0.19,36,54,55,55,23.6,42,0,0,2,2,2,0,1.0,1.0,100.0,0.4,⚪ NORMAL
ARB-SAO,SAO-ARB,2026-04-18,7,9,17,122.02,99,0.17,0.16,82,62,81,72,23.6,55,0,0,2,0,9,0,0.5,8.5,1700.0,1.2,⚪ NORMAL
RIO-VIX,VIX-RIO,2026-04-22,4,13,34,119.31,133,0.26,0.24,99,135,153,144,23.6,110,0,0,3,4,4,0,1.8,2.3,128.6,0.8,⚪ NORMAL
RIO-STS,STS-RIO,2026-04-18,7,9,10,94.9,56,0.18,0.17,46,55,28,42,23.8,32,0,0,0,0,9,0,0.0,9.0,,1.2,⚪ NORMAL
GYN-SAO,GYN-SAO,2026-04-19,1,10,11,123.72,60,0.18,0.15,49,49,42,46,23.9,35,0,0,0,6,0,0,1.5,-1.5,-100.0,0.4,⚪ NORMAL
BOA-MAN,BOA-MAN,2026-04-17,6,8,11,175.9,43,0.26,0.26,32,39,53,46,23.9,35,0,0,0,0,0,0,0.0,0.0,,0.0,⚪ NORMAL
CRG-SAO,CRG-SAO,2026-04-18,7,9,24,37.65,184,0.13,0.11,160,98,102,100,24.0,76,0,0,3,1,1,0,1.0,0.0,0.0,0.2,⚪ NORMAL
MCL-SAO,MCL-SAO,2026-04-22,4,13,20,119.55,64,0.31,0.24,44,93,72,83,24.1,63,0,0,3,3,9,0,1.5,7.5,500.0,1.4,⚪ NORMAL
CRG-SAO,SAO-CRG,2026-04-20,2,11,27,65.34,228,0.12,0.1,201,111,113,112,24.1,85,2,0,2,4,7,0,2.0,5.0,250.0,0.9,⚪ NORMAL
CPC-FLN,CPC-FLN,2026-04-18,7,9,33,144.75,123,0.27,0.22,90,149,123,136,24.3,103,6,0,2,16,4,0,6.0,-2.0,-33.3,0.8,⚪ NORMAL
CDG-RIO,CDG-RIO,2026-04-19,1,10,21,49.14,92,0.23,0.22,71,86,86,86,24.4,65,2,0,1,6,2,0,2.3,-0.3,-11.1,0.4,⚪ NORMAL
MCL-SAO,SAO-MCL,2026-04-19,1,10,19,133.01,64,0.3,0.22,45,74,82,78,24.4,59,0,0,12,0,3,0,3.0,0.0,0.0,0.4,⚪ NORMAL
CAB-RIO,CAB-RIO,2026-04-18,7,9,28,39.51,92,0.3,0.29,64,134,94,114,24.6,86,3,3,1,3,3,0,2.5,0.5,20.0,0.0,⚪ NORMAL
CGR-SAO,CGR-SAO,2026-04-19,1,10,21,151.14,120,0.18,0.17,99,72,98,85,24.7,64,0,3,3,6,3,0,3.0,0.0,0.0,0.6,⚪ NORMAL
CDG-RIO,RIO-CDG,2026-04-17,6,8,30,67.6,92,0.33,0.32,62,166,76,121,24.8,91,3,4,1,4,5,0,3.0,2.0,66.7,0.3,⚪ NORMAL
CMP-SJK,CMP-SJK,2026-04-18,7,9,15,33.3,46,0.33,0.21,31,64,56,60,25.0,45,0,0,1,1,0,0,0.5,-0.5,-100.0,0.1,⚪ NORMAL
BHZ-CMP,BHZ-CMP,2026-04-22,4,13,11,139.9,43,0.26,0.23,32,40,48,44,25.0,33,0,0,4,0,2,0,1.0,1.0,100.0,0.3,⚪ NORMAL
MCL-SAO,SAO-MCL,2026-04-20,2,11,17,137.78,64,0.27,0.22,47,64,71,68,25.0,51,0,0,0,15,3,0,3.8,-0.8,-20.0,1.4,⚪ NORMAL
PNV-SAO,SAO-PNV,2026-04-20,2,11,7,162.9,45,0.16,0.14,38,23,33,28,25.0,21,0,0,3,1,0,0,1.0,-1.0,-100.0,0.1,⚪ NORMAL
SAO-VIX,SAO-VIX,2026-04-19,1,10,28,150.19,145,0.19,0.14,117,107,115,111,25.2,83,0,2,8,0,11,0,2.5,8.5,340.0,1.3,⚪ NORMAL
CAB-RIO,CAB-RIO,2026-04-17,6,8,36,36.79,184,0.2,0.18,148,172,114,143,25.2,107,3,0,8,3,1,0,3.5,-2.5,-71.4,-0.1,⚪ NORMAL
BHZ-SJK,BHZ-SJK,2026-04-18,7,9,16,122.53,44,0.36,0.33,28,65,60,63,25.4,47,0,5,1,1,2,0,1.8,0.3,14.3,0.0,⚪ NORMAL
CMP-RIO,CMP-RIO,2026-04-20,2,11,10,62.3,44,0.23,0.18,34,35,43,39,25.6,29,1,0,1,0,1,0,0.5,0.5,100.0,0.0,⚪ NORMAL
CMP-GUR,GUR-CMP,2026-04-19,1,10,13,100.44,45,0.29,0.26,32,48,51,50,26.0,37,0,0,0,0,0,0,0.0,0.0,,0.0,⚪ NORMAL
BHZ-CMP,CMP-BHZ,2026-04-19,1,10,17,161.49,43,0.4,0.36,26,69,60,65,26.2,48,0,0,0,2,10,0,0.5,9.5,1900.0,1.5,⚪ NORMAL
BOA-MAN,BOA-MAN,2026-04-22,4,13,10,144.6,42,0.24,0.24,32,33,42,38,26.3,28,0,0,0,1,0,0,0.3,-0.3,-100.0,0.1,⚪ NORMAL
BHZ-CMP,BHZ-CMP,2026-04-17,6,8,21,226.61,40,0.53,0.48,19,76,84,80,26.3,59,0,0,0,2,0,0,0.5,-0.5,-100.0,0.1,⚪ NORMAL
ARB-SAO,SAO-ARB,2026-04-22,4,13,24,106.94,159,0.15,0.13,135,83,99,91,26.4,67,5,0,2,7,2,0,3.5,-1.5,-42.9,0.1,⚪ NORMAL
SAO-UDI,UDI-SAO,2026-04-18,7,9,9,99.79,43,0.21,0.17,34,30,38,34,26.5,25,0,2,0,0,0,0,0.5,-0.5,-100.0,-0.1,⚪ NORMAL
IPA-VIX,VIX-IPA,2026-04-17,6,8,21,112.8,80,0.26,0.21,59,82,76,79,26.6,58,0,2,5,1,4,0,2.0,2.0,100.0,0.5,⚪ NORMAL
JDF-SAO,JDF-SAO,2026-04-22,4,13,17,120.31,166,0.1,0.09,149,70,58,64,26.6,47,0,3,3,3,7,0,2.3,4.8,211.1,0.9,⚪ NORMAL
QDC-SAO,QDC-SAO,2026-04-19,1,10,8,115.4,45,0.18,0.14,37,26,33,30,26.7,22,0,0,0,0,1,0,0.0,1.0,,0.1,⚪ NORMAL
CAB-SAO,CAB-SAO,2026-04-18,7,9,20,198.3,45,0.44,0.44,25,88,61,75,26.7,55,2,0,4,0,0,0,1.5,-1.5,-100.0,-0.3,⚪ NORMAL
SAO-VIX,VIX-SAO,2026-04-19,1,10,28,157.79,145,0.19,0.16,117,102,107,105,26.7,77,0,1,9,1,1,0,2.8,-1.8,-63.6,0.1,⚪ NORMAL
CDG-RIO,RIO-CDG,2026-04-20,2,11,24,55.98,92,0.26,0.26,68,90,90,90,26.7,66,0,0,2,0,4,0,0.5,3.5,700.0,0.5,⚪ NORMAL
MCE-SAO,SAO-MCE,2026-04-18,7,9,11,94.08,44,0.25,0.24,33,45,37,41,26.8,30,0,0,1,1,0,0,0.5,-0.5,-100.0,0.1,⚪ NORMAL
QDC-SAO,SAO-QDC,2026-04-21,3,12,10,91.1,42,0.24,0.13,32,31,42,37,27.0,27,1,0,1,0,1,0,0.5,0.5,100.0,0.0,⚪ NORMAL
BOA-MAN,MAN-BOA,2026-04-19,1,10,12,130.23,42,0.29,0.29,30,47,41,44,27.3,32,1,1,2,1,3,0,1.3,1.8,140.0,0.3,⚪ NORMAL
MCE-RIO,MCE-RIO,2026-04-19,1,10,26,32.98,90,0.29,0.26,64,97,93,95,27.4,69,1,0,0,1,4,0,0.5,3.5,700.0,0.5,⚪ NORMAL
BHZ-RAO,RAO-BHZ,2026-04-22,4,13,11,192.35,49,0.22,0.18,38,44,36,40,27.5,29,0,2,2,2,0,0,1.5,-1.5,-100.0,0.0,⚪ NORMAL
MCL-RIO,MCL-RIO,2026-04-19,1,10,11,121.08,58,0.19,0.12,47,40,40,40,27.5,29,5,0,0,0,1,0,1.3,-0.3,-20.0,-0.5,⚪ NORMAL
MCE-RIO,MCE-RIO,2026-04-17,6,8,27,49.86,90,0.3,0.27,63,140,56,98,27.6,71,2,0,1,4,8,0,1.8,6.3,357.1,1.1,⚪ NORMAL
IPA-VIX,IPA-VIX,2026-04-18,7,9,16,97.21,40,0.4,0.32,24,56,59,58,27.6,42,0,5,0,1,3,0,1.5,1.5,100.0,0.1,⚪ NORMAL
BHZ-MCE,MCE-BHZ,2026-04-19,1,10,8,159.78,45,0.18,0.16,37,28,29,29,27.6,21,0,2,1,0,0,0,0.8,-0.8,-100.0,-0.1,⚪ NORMAL
JDF-SAO,SAO-JDF,2026-04-19,1,10,18,122.23,102,0.18,0.15,84,64,65,65,27.7,47,3,0,3,3,1,0,2.3,-1.3,-55.6,-0.1,⚪ NORMAL
SAO-UDI,SAO-UDI,2026-04-20,2,11,13,159.28,43,0.3,0.3,30,37,57,47,27.7,34,2,0,2,0,2,0,1.0,1.0,100.0,0.0,⚪ NORMAL
MCL-RIO,MCL-RIO,2026-04-21,3,12,15,115.43,58,0.26,0.12,43,69,39,54,27.8,39,0,0,0,5,2,0,1.3,0.8,60.0,0.6,⚪ NORMAL
GVS-SAO,GVS-SAO,2026-04-19,1,10,17,145.9,64,0.27,0.19,47,59,63,61,27.9,44,0,0,0,3,9,0,0.8,8.3,1100.0,1.4,⚪ NORMAL
BHZ-SJK,BHZ-SJK,2026-04-19,1,10,20,188.25,120,0.17,0.15,100,64,78,71,28.2,51,0,0,0,3,12,0,0.8,11.3,1500.0,1.8,⚪ NORMAL
ANG-BHZ,BHZ-ANG,2026-04-18,7,9,11,148.08,46,0.24,0.23,35,56,22,39,28.2,28,2,0,0,2,0,0,1.0,-1.0,-100.0,-0.1,⚪ NORMAL
RAO-RIO,RIO-RAO,2026-04-22,4,13,19,159.06,53,0.36,0.32,34,59,74,67,28.4,48,0,0,0,3,6,0,0.8,5.3,700.0,1.0,⚪ NORMAL
ARB-SAO,ARB-SAO,2026-04-18,7,9,21,118.85,93,0.23,0.2,72,74,74,74,28.4,53,3,4,0,8,6,0,3.8,2.3,60.0,0.7,⚪ NORMAL
BHZ-CMP,BHZ-CMP,2026-04-20,2,11,14,165.33,43,0.33,0.3,29,49,48,49,28.6,35,0,4,0,2,4,0,1.5,2.5,166.7,0.4,⚪ NORMAL
CRG-SAO,CRG-SAO,2026-04-19,1,10,54,55.99,228,0.24,0.2,174,173,201,187,28.9,133,4,2,8,4,3,0,4.5,-1.5,-33.3,0.0,⚪ NORMAL
BHZ-BSB,BHZ-BSB,2026-04-19,1,10,11,140.54,91,0.12,0.12,80,35,40,38,28.9,27,0,0,0,2,0,0,0.5,-0.5,-100.0,0.1,⚪ NORMAL
CDG-RIO,RIO-CDG,2026-04-19,1,10,25,49.42,92,0.27,0.27,67,80,92,86,29.1,61,0,3,5,2,2,0,2.5,-0.5,-20.0,0.2,⚪ NORMAL
BHZ-DTI,DTI-BHZ,2026-04-19,1,10,26,65.75,133,0.2,0.16,107,93,85,89,29.2,63,0,2,2,7,4,0,2.8,1.3,45.5,0.9,⚪ NORMAL
CMP-RIO,RIO-CMP,2026-04-22,4,13,18,105.07,60,0.3,0.27,42,52,69,61,29.5,43,0,0,6,0,3,0,1.5,1.5,100.0,0.4,⚪ NORMAL
CRG-SAO,SAO-CRG,2026-04-19,1,10,40,49.35,228,0.18,0.15,188,118,149,134,29.9,94,3,0,3,4,7,0,2.5,4.5,180.0,0.8,⚪ NORMAL
RIO-STS,STS-RIO,2026-04-19,1,10,9,122.01,41,0.22,0.21,32,26,34,30,30.0,21,0,0,0,0,1,0,0.0,1.0,,0.1,⚪ NORMAL
BOA-MAN,MAN-BOA,2026-04-20,2,11,12,122.57,43,0.28,0.28,31,36,44,40,30.0,28,0,0,0,0,1,0,0.0,1.0,,0.1,⚪ NORMAL
BHZ-RIO,RIO-BHZ,2026-04-22,4,13,102,128.11,297,0.34,0.32,195,322,356,339,30.1,237,1,3,10,16,7,0,7.5,-0.5,-6.7,1.7,⚪ NORMAL
CAB-SAO,SAO-CAB,2026-04-21,3,12,27,120.12,131,0.21,0.19,104,98,80,89,30.3,62,0,4,5,0,9,0,2.3,6.8,300.0,0.9,⚪ NORMAL
BHZ-GYN,BHZ-GYN,2026-04-22,4,13,15,156.97,64,0.23,0.21,49,56,42,49,30.6,34,0,0,0,9,0,0,2.3,-2.3,-100.0,0.6,⚪ NORMAL
BHZ-UDI,BHZ-UDI,2026-04-21,3,12,47,165.07,162,0.29,0.27,115,128,171,150,31.3,103,9,3,21,24,10,0,14.3,-4.3,-29.8,1.5,⚪ NORMAL
BRU-SAO,SAO-BRU,2026-04-20,2,11,10,54.4,46,0.22,0.2,36,35,28,32,31.3,22,0,2,3,0,0,0,1.3,-1.3,-100.0,-0.1,⚪ NORMAL
GYN-SAO,SAO-GYN,2026-04-19,1,10,16,140.03,60,0.27,0.21,44,52,50,51,31.4,35,0,0,3,3,0,0,1.5,-1.5,-100.0,0.2,⚪ NORMAL
BAT-SAO,BAT-SAO,2026-04-21,3,12,30,91.57,46,0.65,0.51,16,68,121,95,31.6,65,1,2,1,0,3,0,1.0,2.0,200.0,0.1,⚪ NORMAL
CMP-RIO,RIO-CMP,2026-04-17,6,8,26,112.55,44,0.59,0.55,18,72,91,82,31.7,56,0,0,0,1,3,0,0.3,2.8,1100.0,0.5,⚪ NORMAL
BOA-MAN,MAN-BOA,2026-04-17,6,8,14,161.83,42,0.33,0.33,28,35,52,44,31.8,30,0,0,0,0,0,0,0.0,0.0,,0.0,⚪ NORMAL
JDF-SAO,SAO-JDF,2026-04-18,7,9,14,84.97,60,0.23,0.21,46,47,41,44,31.8,30,0,0,0,3,6,0,0.8,5.3,700.0,1.0,⚪ NORMAL
BHZ-RAO,BHZ-RAO,2026-04-17,6,8,22,193.81,49,0.45,0.36,27,70,68,69,31.9,47,0,0,2,0,0,0,0.5,-0.5,-100.0,0.0,⚪ NORMAL
RIO-UDI,UDI-RIO,2026-04-22,4,13,16,151.96,56,0.29,0.24,40,54,45,50,32.0,34,0,0,9,3,3,0,3.0,0.0,0.0,0.6,⚪ NORMAL
QDC-SAO,SAO-QDC,2026-04-18,7,9,10,117.7,45,0.22,0.17,35,32,29,31,32.3,21,1,0,0,3,3,0,1.0,2.0,200.0,0.5,⚪ NORMAL
BHZ-DTI,DTI-BHZ,2026-04-17,6,8,23,71.16,88,0.26,0.22,65,77,64,71,32.4,48,0,4,4,0,3,0,2.0,1.0,50.0,0.1,⚪ NORMAL
BAT-SAO,SAO-BAT,2026-04-21,3,12,29,115.73,90,0.32,0.3,61,69,108,89,32.6,60,2,1,1,1,1,0,1.3,-0.3,-20.0,-0.1,⚪ NORMAL
BHZ-DTI,DTI-BHZ,2026-04-18,7,9,16,82.09,42,0.38,0.32,26,50,48,49,32.7,33,0,2,0,0,4,0,0.5,3.5,700.0,0.4,⚪ NORMAL
CAB-SAO,SAO-CAB,2026-04-18,7,9,35,194.01,47,0.74,0.73,12,90,121,106,33.0,71,4,0,2,0,2,0,1.5,0.5,33.3,-0.3,⚪ NORMAL
BRU-SAO,BRU-SAO,2026-04-20,2,11,9,54.34,42,0.21,0.2,33,27,26,27,33.3,18,4,0,1,0,3,0,1.3,1.8,140.0,-0.1,⚪ NORMAL
PAS-SAO,SAO-PAS,2026-04-20,2,11,9,71.34,46,0.2,0.18,37,22,31,27,33.3,18,1,0,1,4,0,0,1.5,-1.5,-100.0,0.1,⚪ NORMAL
BOA-MAN,BOA-MAN,2026-04-21,3,12,13,158.52,43,0.3,0.3,30,36,42,39,33.3,26,0,0,2,0,0,0,0.5,-0.5,-100.0,0.0,⚪ NORMAL
JDF-SAO,JDF-SAO,2026-04-18,7,9,18,94.4,60,0.3,0.29,42,60,48,54,33.3,36,0,0,6,9,6,0,3.8,2.3,60.0,1.4,⚪ NORMAL
RIO-STS,STS-RIO,2026-04-22,4,13,13,104.28,56,0.23,0.22,43,46,32,39,33.3,26,0,0,0,9,6,0,2.3,3.8,166.7,1.4,⚪ NORMAL
SAO-UDI,UDI-SAO,2026-04-22,4,13,13,152.67,43,0.3,0.29,30,36,42,39,33.3,26,0,2,6,0,2,0,2.0,0.0,0.0,0.1,⚪ NORMAL
BHZ-RAO,RAO-BHZ,2026-04-20,2,11,14,188.47,49,0.29,0.21,35,34,49,42,33.3,28,0,2,0,6,4,0,2.0,2.0,100.0,0.8,⚪ NORMAL
BHZ-SJK,SJK-BHZ,2026-04-22,4,13,31,151.29,120,0.26,0.26,89,91,93,92,33.7,61,0,0,0,0,6,0,0.0,6.0,,0.8,⚪ NORMAL
OLP-SAO,SAO-OLP,2026-04-19,1,10,24,97.53,92,0.26,0.24,68,81,60,71,33.8,47,0,0,0,4,1,0,1.0,0.0,0.0,0.4,⚪ NORMAL
BHZ-DTI,BHZ-DTI,2026-04-21,3,12,16,55.27,42,0.38,0.31,26,45,48,47,34.0,31,0,3,1,4,1,0,2.0,-1.0,-50.0,0.2,⚪ NORMAL
CAB-RIO,CAB-RIO,2026-04-19,1,10,57,39.02,184,0.31,0.28,127,175,159,167,34.1,110,4,2,9,6,3,0,5.3,-2.3,-42.9,0.1,⚪ NORMAL
ARB-SAO,SAO-ARB,2026-04-19,1,10,38,125.66,153,0.25,0.22,115,110,111,111,34.2,73,2,0,8,7,3,0,4.3,-1.3,-29.4,0.6,⚪ NORMAL
BOA-MAN,MAN-BOA,2026-04-21,3,12,13,155.44,42,0.31,0.3,29,29,46,38,34.2,25,1,0,1,2,0,0,1.0,-1.0,-100.0,0.0,⚪ NORMAL
PNV-SAO,PNV-SAO,2026-04-18,7,9,11,136.45,44,0.25,0.23,33,37,27,32,34.4,21,0,0,0,7,3,0,1.8,1.3,71.4,0.9,⚪ NORMAL
SAO-UDI,SAO-UDI,2026-04-21,3,12,19,159.32,43,0.44,0.43,24,47,62,55,34.5,36,4,0,2,0,0,0,1.5,-1.5,-100.0,-0.5,⚪ NORMAL
QDC-SAO,QDC-SAO,2026-04-22,4,13,10,96.7,42,0.24,0.17,32,27,30,29,34.5,19,0,0,1,0,0,0,0.3,-0.3,-100.0,0.0,⚪ NORMAL
CDG-RIO,CDG-RIO,2026-04-20,2,11,31,54.71,92,0.34,0.33,61,87,91,89,34.8,58,2,5,2,2,6,0,2.8,3.3,118.2,0.3,⚪ NORMAL
RIO-VIX,RIO-VIX,2026-04-22,4,13,44,123.49,136,0.32,0.31,92,134,118,126,34.9,82,3,4,17,9,8,0,8.3,-0.3,-3.0,1.0,⚪ NORMAL
RIO-STS,RIO-STS,2026-04-19,1,10,14,127.4,56,0.25,0.24,42,45,34,40,35.0,26,0,9,6,6,3,0,5.3,-2.3,-42.9,0.2,⚪ NORMAL
BHZ-IPA,BHZ-IPA,2026-04-17,6,8,125,96.48,447,0.28,0.23,322,362,349,356,35.1,231,5,11,19,18,12,0,13.3,-1.3,-9.4,1.4,⚪ NORMAL
MCL-SAO,SAO-MCL,2026-04-17,6,8,31,146.51,64,0.48,0.34,33,101,75,88,35.2,57,0,6,3,12,3,0,5.3,-2.3,-42.9,0.8,⚪ NORMAL
BHZ-UDI,BHZ-UDI,2026-04-20,2,11,35,118.47,101,0.35,0.3,66,83,114,99,35.4,64,5,0,3,3,3,0,2.8,0.3,9.1,-0.1,⚪ NORMAL
QDC-SAO,SAO-QDC,2026-04-19,1,10,11,120.99,42,0.26,0.21,31,28,33,31,35.5,20,2,1,1,0,2,0,1.0,1.0,100.0,-0.1,⚪ NORMAL
BHZ-GYN,BHZ-GYN,2026-04-20,2,11,15,179.5,64,0.23,0.19,49,33,50,42,35.7,27,0,0,3,3,6,0,1.5,4.5,300.0,1.0,⚪ NORMAL
MCE-SAO,SAO-MCE,2026-04-20,2,11,10,90.9,44,0.23,0.23,34,21,34,28,35.7,18,3,0,1,0,1,0,1.0,0.0,0.0,-0.3,⚪ NORMAL
SAO-UDI,UDI-SAO,2026-04-20,2,11,15,136.03,43,0.35,0.34,28,37,47,42,35.7,27,0,0,4,2,4,0,1.5,2.5,166.7,0.7,⚪ NORMAL
MCL-RIO,RIO-MCL,2026-04-22,4,13,18,121.29,58,0.31,0.25,40,65,35,50,36.0,32,0,0,1,0,3,0,0.3,2.8,1100.0,0.4,⚪ NORMAL
CAB-VIX,VIX-CAB,2026-04-19,1,10,13,82.36,52,0.25,0.2,39,34,38,36,36.1,23,0,0,0,3,0,0,0.8,-0.8,-100.0,0.2,⚪ NORMAL
BAT-SAO,SAO-BAT,2026-04-20,2,11,25,76.58,91,0.27,0.23,66,56,81,69,36.2,44,0,4,2,1,1,0,1.8,-0.8,-42.9,-0.1,⚪ NORMAL
RIO-VIX,VIX-RIO,2026-04-21,3,12,60,145.18,136,0.44,0.42,76,124,205,165,36.4,105,5,0,20,21,9,0,11.5,-2.5,-21.7,1.9,⚪ NORMAL
SAO-VIX,VIX-SAO,2026-04-18,7,9,31,160.87,89,0.35,0.28,58,95,74,85,36.5,54,2,12,8,2,4,2,6.0,-2.0,-33.3,-0.4,⚪ NORMAL
MCE-RIO,RIO-MCE,2026-04-19,1,10,34,32.16,90,0.38,0.35,56,105,80,93,36.6,59,3,0,5,4,5,0,3.0,2.0,66.7,0.5,⚪ NORMAL
SAO-VIX,VIX-SAO,2026-04-22,4,13,47,147.77,145,0.32,0.26,98,129,126,128,36.7,81,1,4,3,2,3,0,2.5,0.5,20.0,0.1,⚪ NORMAL
BOA-MAN,BOA-MAN,2026-04-20,2,11,18,173.51,42,0.43,0.42,24,44,53,49,36.7,31,0,0,0,0,0,0,0.0,0.0,,0.0,⚪ NORMAL
BOA-MAN,BOA-MAN,2026-04-18,7,9,11,151.63,42,0.26,0.26,31,23,36,30,36.7,19,1,0,2,0,0,0,0.8,-0.8,-100.0,-0.1,⚪ NORMAL
CAB-RIO,CAB-RIO,2026-04-20,2,11,50,40.78,183,0.27,0.26,133,132,140,136,36.8,86,2,0,7,6,6,0,3.8,2.3,60.0,0.9,⚪ NORMAL
OLP-SAO,SAO-OLP,2026-04-21,3,12,24,77.11,46,0.52,0.4,22,71,58,65,36.9,41,0,1,5,2,3,0,2.0,1.0,50.0,0.5,⚪ NORMAL
CAB-RIO,RIO-CAB,2026-04-20,2,11,45,39.92,183,0.25,0.22,138,108,134,121,37.2,76,2,2,7,7,3,0,4.5,-1.5,-33.3,0.5,⚪ NORMAL
CMP-RIO,CMP-RIO,2026-04-21,3,12,28,103.58,60,0.47,0.46,32,58,92,75,37.3,47,0,0,0,0,3,0,0.0,3.0,,0.4,⚪ NORMAL
CAB-SAO,CAB-SAO,2026-04-22,4,13,36,145.4,131,0.27,0.26,95,94,98,96,37.5,60,0,0,6,1,1,0,1.8,-0.8,-42.9,0.2,⚪ NORMAL
ANG-BHZ,BHZ-ANG,2026-04-19,1,10,12,130.9,43,0.28,0.24,31,31,32,32,37.5,20,0,1,0,0,0,0,0.3,-0.3,-100.0,-0.1,⚪ NORMAL
SAO-UDI,UDI-SAO,2026-04-21,3,12,18,167.12,43,0.42,0.39,25,35,61,48,37.5,30,4,6,2,0,2,0,3.0,-1.0,-33.3,-0.7,⚪ NORMAL
IPA-VIX,VIX-IPA,2026-04-21,3,12,26,134.48,40,0.65,0.5,14,57,81,69,37.7,43,3,1,1,1,0,0,1.5,-1.5,-100.0,-0.4,⚪ NORMAL
BRU-SAO,SAO-BRU,2026-04-19,1,10,23,66.42,88,0.26,0.23,65,57,64,61,37.7,38,0,0,1,0,1,0,0.3,0.8,300.0,0.1,⚪ NORMAL
SAO-VIX,SAO-VIX,2026-04-20,2,11,37,172.71,145,0.26,0.2,108,91,103,97,38.1,60,12,6,0,4,5,0,5.5,-0.5,-9.1,-1.1,⚪ NORMAL
SAO-VIX,VIX-SAO,2026-04-21,3,12,53,195.86,145,0.37,0.29,92,128,149,139,38.1,86,0,2,0,7,9,0,2.3,6.8,300.0,1.5,⚪ NORMAL
SAO-UDI,UDI-SAO,2026-04-17,6,8,29,187.73,43,0.67,0.65,14,73,79,76,38.2,47,0,0,0,0,2,0,0.0,2.0,,0.3,⚪ NORMAL
PNV-SAO,SAO-PNV,2026-04-22,4,13,10,130.0,45,0.22,0.2,35,33,19,26,38.5,16,0,0,1,3,2,0,1.0,1.0,100.0,0.5,⚪ NORMAL
GYN-SAO,GYN-SAO,2026-04-22,4,13,20,127.85,60,0.33,0.3,40,43,60,52,38.5,32,0,0,3,0,0,0,0.8,-0.8,-100.0,0.0,⚪ NORMAL
RIO-STS,STS-RIO,2026-04-21,3,12,14,112.54,41,0.34,0.33,27,39,32,36,38.9,22,0,0,1,1,0,0,0.5,-0.5,-100.0,0.1,⚪ NORMAL
CGR-SAO,SAO-CGR,2026-04-18,7,9,35,129.53,120,0.29,0.28,85,80,100,90,38.9,55,3,0,3,15,6,0,5.3,0.8,14.3,1.4,⚪ NORMAL
BHZ-DTI,DTI-BHZ,2026-04-20,2,11,18,68.46,88,0.2,0.2,70,44,48,46,39.1,28,0,0,2,0,0,0,0.5,-0.5,-100.0,0.0,⚪ NORMAL
CAB-JDF,CAB-JDF,2026-04-17,6,8,35,46.13,137,0.26,0.21,102,94,84,89,39.3,54,3,2,0,6,5,0,2.8,2.3,81.8,0.5,⚪ NORMAL
MCE-RIO,RIO-MCE,2026-04-18,7,9,35,35.39,90,0.39,0.35,55,99,78,89,39.3,54,1,1,1,6,9,0,2.3,6.8,300.0,1.4,⚪ NORMAL
CAB-RIO,CAB-RIO,2026-04-21,3,12,53,58.73,90,0.59,0.54,37,118,147,133,39.8,80,0,5,4,0,10,0,2.3,7.8,344.4,1.0,⚪ NORMAL
RIO-STS,RIO-STS,2026-04-22,4,13,14,101.9,41,0.34,0.33,27,38,32,35,40.0,21,1,1,0,2,3,0,1.0,2.0,200.0,0.3,⚪ NORMAL
MCE-SAO,MCE-SAO,2026-04-18,7,9,16,95.59,44,0.36,0.35,28,57,23,40,40.0,24,0,0,0,2,3,0,0.5,2.5,500.0,0.5,⚪ NORMAL
