data,turno,rota_principal,sentido,antecedencia,dia_da_semana,pax,capacidade_atual,occ_atual,vagas_restantes,lf_pascoa_2026,lf_atual,ratio,tkm_atual,tkm_comp,preco_base,preco_est_draft,preco_est_novo,preco_com_sazonalidade,preco_com_flutuacao,mult_final,mult_flutuacao,price_cc,origem_match,qtd_dias_no_idx
2026-04-17,MANHA,BAT-SAO,BAT-SAO,7,6,22,45,0.49,23,0.252,0.3976,1.578,85.08,93.92,116.9,116.9,160.9,160.9,202.47673094996483,1.371,1.2584010624609374,199.95,com_turno,1.0
2026-04-17,MANHA,BHZ-DTI,BHZ-DTI,7,6,20,46,0.43,26,0.0,0.3646,0.0,63.3,,94.9,94.9,104.9,104.9,121.15949999999998,1.105,1.1549999999999998,177.84,sem_match,
2026-04-17,MANHA,BHZ-RIO,BHZ-RIO,7,6,39,60,0.65,21,0.5376,0.6169,1.1476,137.98,216.44,95.9,110.9,170.9,170.9,311.038,1.779,1.82,283.308,com_turno,1.0
2026-04-17,MANHA,CAB-RIO,RIO-CAB,7,6,67,92,0.73,25,0.369,0.6572,1.7808,56.06,,50.9,57.9,74.9,74.9,105.55251053410547,1.454,1.4092458015234373,,com_turno,1.0
2026-04-17,MANHA,CMP-GUR,GUR-CMP,7,6,29,45,0.64,16,0.0,0.4905,0.0,76.07,,75.9,75.9,136.9,136.9,116.365,1.804,0.85,,sem_match,
2026-04-17,MANHA,CRG-SAO,SAO-CRG,7,6,87,136,0.64,49,0.2464,0.5207,2.1128,62.96,,52.9,55.9,67.9,67.9,89.59966673222091,1.284,1.3195827206512651,,com_turno,1.0
2026-04-17,MANHA,RAO-SAO,RAO-SAO,7,6,90,180,0.5,90,0.2404,0.3885,1.6163,52.49,78.52,68.9,69.9,111.9,111.9,135.32906250000002,1.616,1.209375,165.885,com_turno,1.0
2026-04-17,NOITE,ANG-BHZ,ANG-BHZ,7,6,33,46,0.72,13,0.369,0.6445,1.7466,178.9,,160.9,160.9,273.9,273.9,397.155,1.702,1.45,,com_turno,1.0
2026-04-17,NOITE,ANG-BHZ,BHZ-ANG,7,6,78,95,0.82,17,0.3607,0.7825,2.1691,293.37,278.36,160.9,217.9,321.9,321.9,399.15599999999995,2.001,1.24,,com_turno,1.0
2026-04-17,NOITE,BAT-SAO,BAT-SAO,7,6,29,45,0.64,16,0.6024,0.6164,1.0233,140.18,177.49,142.9,155.9,194.9,194.9,257.26800000000003,1.362,1.32,240.9,com_turno,1.0
2026-04-17,NOITE,BAT-SAO,SAO-BAT,7,6,49,91,0.54,42,0.6377,0.4777,0.7491,129.94,171.26,136.9,160.9,200.9,200.9,257.152,1.468,1.28,254.6,com_turno,1.0
2026-04-17,NOITE,BHZ-BSB,BSB-BHZ,7,6,69,91,0.76,22,0.5556,0.7597,1.3674,208.98,,127.9,139.9,192.9,192.9,364.7696008883183,1.502,1.8909777132624068,270.514,com_turno,1.0
2026-04-17,NOITE,BHZ-CAB,BHZ-CAB,7,6,418,596,0.7,178,0.7214,0.6782,0.94,224.83,221.53,158.9,209.9,244.9,244.9,343.4388545454546,1.539,1.4023636363636365,344.49,com_turno,1.0
2026-04-17,NOITE,BHZ-CMP,BHZ-CMP,7,6,22,40,0.55,18,0.6596,0.5006,0.7589,234.58,184.8,105.9,140.9,157.9,157.9,226.7145054838125,1.492,1.4358106743749999,,com_turno,1.0
2026-04-17,NOITE,BHZ-GYN,BHZ-GYN,7,6,42,64,0.66,22,0.4119,0.5871,1.4253,169.45,159.61,111.9,124.9,181.9,181.9,281.94844171142574,1.626,1.5500189208984374,244.683,com_turno,1.0
2026-04-17,NOITE,BHZ-GYN,GYN-BHZ,7,6,46,64,0.72,18,0.5669,0.6251,1.1027,166.4,144.74,105.9,120.9,147.9,147.9,227.1367457879131,1.393,1.5357454076261872,351.507,com_turno,1.0
2026-04-17,NOITE,BHZ-MCE,BHZ-MCE,7,6,36,45,0.8,9,0.1113,0.6995,6.286,179.34,,182.9,228.9,273.9,273.9,506.715,1.497,1.85,,com_turno,1.0
2026-04-17,NOITE,BHZ-MCE,MCE-BHZ,7,6,23,45,0.51,22,0.2713,0.4786,1.7639,173.33,,210.9,228.9,308.9,308.9,465.9289365835856,1.461,1.5083487749549551,,com_turno,1.0
2026-04-17,NOITE,BHZ-RAO,BHZ-RAO,7,6,22,49,0.45,27,0.4973,0.3649,0.7338,193.81,235.46,165.9,193.9,256.9,256.9,336.3527475,1.548,1.3092750000000002,,com_turno,1.0
2026-04-17,NOITE,BHZ-RAO,RAO-BHZ,7,6,37,60,0.62,23,0.4027,0.4721,1.1721,183.71,,165.9,184.9,221.9,221.9,305.19432562500003,1.335,1.37536875,,com_turno,1.0
2026-04-17,NOITE,BHZ-RIO,BHZ-RIO,7,6,801,1114,0.72,313,0.7278,0.7326,1.0066,211.85,242.09,111.9,137.9,191.9,191.9,300.8658260869566,1.716,1.5678260869565221,270.408,com_turno,1.0
2026-04-17,NOITE,BHZ-VIX,BHZ-VIX,7,6,310,441,0.7,131,0.6339,0.6681,1.0539,248.91,205.1,121.9,154.9,194.9,194.9,349.0612555418227,1.593,1.7909761700452678,323.601,com_turno,1.0
2026-04-17,NOITE,BHZ-VIX,VIX-BHZ,7,6,210,308,0.68,98,0.5391,0.6764,1.2545,170.07,144.84,115.9,132.9,159.9,159.9,249.13694402513983,1.378,1.558079699969605,197.218,com_turno,1.0
2026-04-17,NOITE,BOA-MAN,BOA-MAN,7,6,11,43,0.26,32,0.4682,0.2558,0.5464,175.9,,213.9,224.9,247.9,247.9,270.83074999999997,1.155,1.0924999999999998,330.002,com_turno,1.0
